sample_index,gps_time,time_since_start_s,time_centered_s,strain_h1,strain_l1,strain_v1,strain_mean_h1_l1,strain_mean_h1_l1_v1,strain_abs_mean_h1_l1,strain_abs_mean_h1_l1_v1,strain_abs_diff_h1_l1,strain_abs_diff_h1_v1,strain_abs_diff_l1_v1,time_from_peak_s
17,1187006834.0041504,0.004150390625,-2047.995849609375,-2.5472760043411652e-18,-6.3244979437403565e-19,-3.451886786412246e-19,-1.5898628993576001e-18,-1.1749714924521416e-18,1.5898628993576001e-18,1.1749714924521416e-18,1.9148262099671294e-18,2.2020873256999403e-18,2.8726111573281093e-19,-297.019287109375
18,1187006834.0043943,0.00439453125,-2047.99560546875,-2.5679406304038933e-18,-6.372446427906218e-19,-3.5273845516691805e-19,-1.6025926365972577e-18,-1.185974576120478e-18,1.6025926365972577e-18,1.185974576120478e-18,1.930695987613272e-18,2.2152021752369758e-18,2.8450618762370375e-19,-297.01904296875
19,1187006834.004639,0.004638671875,-2047.995361328125,-2.5733452168203357e-18,-6.322479225133021e-19,-3.692989183094914e-19,-1.6027965696668188e-18,-1.1916306858810429e-18,1.6027965696668188e-18,1.1916306858810429e-18,1.941097294307033e-18,2.204046298510844e-18,2.6294900420381056e-19,-297.018798828125
20,1187006834.0048828,0.0048828125,-2047.9951171875,-2.569081918720775e-18,-6.34560755884128e-19,-3.423972330982037e-19,-1.6018213373024514e-18,-1.1820133025677022e-18,1.6018213373024514e-18,1.1820133025677022e-18,1.9345211628366466e-18,2.226684685622571e-18,2.921635227859243e-19,-297.0185546875
21,1187006834.005127,0.005126953125,-2047.994873046875,-2.5800384547940283e-18,-6.439671817146615e-19,-3.755838548960149e-19,-1.612002818254345e-18,-1.199863163801568e-18,1.612002818254345e-18,1.199863163801568e-18,1.9360712730793667e-18,2.204454599898013e-18,2.683833268186466e-19,-297.018310546875
22,1187006834.005371,0.00537109375,-2047.99462890625,-2.6011750017914152e-18,-6.440420811567459e-19,-3.5282095303637214e-19,-1.6226085414740805e-18,-1.1993460119948445e-18,1.6226085414740805e-18,1.1993460119948445e-18,1.9571329206346694e-18,2.2483540487550437e-18,2.912211281203736e-19,-297.01806640625
23,1187006834.0056152,0.005615234375,-2047.994384765625,-2.6067805543534864e-18,-6.489914847918231e-19,-3.9817186316448e-19,-1.627886019572655e-18,-1.2179813007699297e-18,1.627886019572655e-18,1.2179813007699297e-18,1.9577890695616638e-18,2.2086086911890066e-18,2.508196216273431e-19,-297.017822265625
24,1187006834.0058594,0.005859375,-2047.994140625,-2.602693064457153e-18,-6.45737708422691e-19,-3.650057351605118e-19,-1.6242153864399222e-18,-1.204478836013452e-18,1.6242153864399222e-18,1.204478836013452e-18,1.9569553560344624e-18,2.2376873292966415e-18,2.807319732621792e-19,-297.017578125
25,1187006834.0061035,0.006103515625,-2047.993896484375,-2.6108708525536492e-18,-6.396875621138448e-19,-4.104493440938358e-19,-1.625279207333747e-18,-1.22033591958711e-18,1.625279207333747e-18,1.22033591958711e-18,1.971183290439804e-18,2.200421508459813e-18,2.29238218020009e-19,-297.017333984375
26,1187006834.0063477,0.00634765625,-2047.99365234375,-2.633489785940986e-18,-6.42499977422968e-19,-3.879365641397403e-19,-1.637994881681977e-18,-1.2213087758345648e-18,1.637994881681977e-18,1.2213087758345648e-18,1.9909898085180186e-18,2.2455532218012463e-18,2.545634132832277e-19,-297.01708984375
27,1187006834.0065918,0.006591796875,-2047.993408203125,-2.6434704004077216e-18,-6.376464154654561e-19,-4.115356064866485e-19,-1.640558407936589e-18,-1.2308841407866085e-18,1.640558407936589e-18,1.2308841407866085e-18,2.0058239849422658e-18,2.231934793921073e-18,2.261108089788075e-19,-297.016845703125
28,1187006834.006836,0.0068359375,-2047.9931640625,-2.6368356762775695e-18,-6.405046478020018e-19,-4.1726512687011733e-19,-1.6386701620397857e-18,-1.231535150316563e-18,1.6386701620397857e-18,1.231535150316563e-18,1.996331028475568e-18,2.2195705494074527e-18,2.232395209318844e-19,-297.0166015625
29,1187006834.00708,0.007080078125,-2047.992919921875,-2.644073626748078e-18,-6.509960260644306e-19,-4.201214359059151e-19,-1.6475348264062545e-18,-1.2383970295728078e-18,1.6475348264062545e-18,1.2383970295728078e-18,1.9930776006836478e-18,2.2239521908421633e-18,2.3087459015851557e-19,-297.016357421875
30,1187006834.0073242,0.00732421875,-2047.99267578125,-2.6642555458539e-18,-6.519618037359674e-19,-4.402988065646481e-19,-1.6581086747949336e-18,-1.2521720520515052e-18,1.6581086747949336e-18,1.2521720520515052e-18,2.0122937421179322e-18,2.223956739289252e-18,2.1166299717131934e-19,-297.01611328125
31,1187006834.0075684,0.007568359375,-2047.992431640625,-2.6720441401844546e-18,-6.579478022537906e-19,-4.190670076899025e-19,-1.6649959712191225e-18,-1.2496863167093826e-18,1.6649959712191225e-18,1.2496863167093826e-18,2.014096337930664e-18,2.2529771324945523e-18,2.388807945638881e-19,-297.015869140625
32,1187006834.0078125,0.0078125,-2047.9921875,-2.668296679621756e-18,-6.56847223833015e-19,-4.413375450241593e-19,-1.6625719517273857e-18,-1.2554938161596434e-18,1.6625719517273857e-18,1.2554938161596434e-18,2.0114494557887413e-18,2.2269591345975968e-18,2.155096788088557e-19,-297.015625
33,1187006834.0080566,0.008056640625,-2047.991943359375,-2.6746024036797364e-18,-6.491127552497855e-19,-4.175869318665706e-19,-1.661857579464761e-18,-1.2471006969320309e-18,1.661857579464761e-18,1.2471006969320309e-18,2.025489648429951e-18,2.2570154718131657e-18,2.3152582338321474e-19,-297.015380859375
34,1187006834.0083008,0.00830078125,-2047.99169921875,-2.694475409586459e-18,-6.539629794289e-19,-4.572999281123599e-19,-1.6742191945076797e-18,-1.2685794390425729e-18,1.6742191945076797e-18,1.2685794390425729e-18,2.0405124301575593e-18,2.2371754814740992e-18,1.9666305131654005e-19,-297.01513671875
35,1187006834.008545,0.008544921875,-2047.991455078125,-2.7043037371034204e-18,-6.497500365180265e-19,-4.145803896129305e-19,-1.6770268868107236e-18,-1.2562113877447926e-18,1.6770268868107236e-18,1.2562113877447926e-18,2.054553700585394e-18,2.28972334749049e-18,2.3516964690509603e-19,-297.014892578125
36,1187006834.008789,0.0087890625,-2047.9912109375,-2.701059854018663e-18,-6.486657479272597e-19,-4.475940767617606e-19,-1.6748628009729616e-18,-1.2657732262358946e-18,1.6748628009729616e-18,1.2657732262358946e-18,2.052394106091403e-18,2.2534657772569024e-18,2.0107167116549918e-19,-297.0146484375
37,1187006834.0090332,0.009033203125,-2047.990966796875,-2.7043271438658612e-18,-6.60376423215934e-19,-4.390481847780561e-19,-1.6823517835408974e-18,-1.2679172506199506e-18,1.6823517835408974e-18,1.2679172506199506e-18,2.0439507206499272e-18,2.265278959087805e-18,2.2132823843787805e-19,-297.014404296875
38,1187006834.009277,0.00927734375,-2047.99072265625,-2.721023236089829e-18,-6.614017527003866e-19,-4.644539009980445e-19,-1.6912124943951078e-18,-1.2822929632627533e-18,1.6912124943951078e-18,1.2822929632627533e-18,2.0596214833894425e-18,2.256569335091785e-18,1.969478517023421e-19,-297.01416015625
39,1187006834.0095215,0.009521484375,-2047.990478515625,-2.7364113054307385e-18,-6.667117866416316e-19,-4.478782557434116e-19,-1.701561546036185e-18,-1.2836671159385938e-18,1.701561546036185e-18,1.2836671159385938e-18,2.0696995187891072e-18,2.2885330496873273e-18,2.1883353089822013e-19,-297.013916015625
40,1187006834.0097656,0.009765625,-2047.990234375,-2.734467569166377e-18,-6.701909830209821e-19,-4.720743536722835e-19,-1.7023292760936796e-18,-1.2922443019532141e-18,1.7023292760936796e-18,1.2922443019532141e-18,2.0642765861453952e-18,2.2623932154940933e-18,1.9811662934869856e-19,-297.013671875
41,1187006834.0100098,0.010009765625,-2047.989990234375,-2.73465747157048e-18,-6.616305929858338e-19,-4.8299330629588645e-19,-1.6981440322781569e-18,-1.293093790284067e-18,1.6981440322781569e-18,1.293093790284067e-18,2.0730268785846466e-18,2.2516641652745934e-18,1.7863728668994737e-19,-297.013427734375
42,1187006834.010254,0.01025390625,-2047.98974609375,-2.750276925618723e-18,-6.637070358216742e-19,-4.6919301153347425e-19,-1.706991980720199e-18,-1.294392324324624e-18,1.706991980720199e-18,1.294392324324624e-18,2.0865698897970488e-18,2.281083914085249e-18,1.9451402428820012e-19,-297.01318359375
43,1187006834.010498,0.010498046875,-2047.989501953125,-2.764037546998065e-18,-6.640177528029991e-19,-4.935271640308611e-19,-1.714027649900532e-18,-1.307194154610642e-18,1.714027649900532e-18,1.307194154610642e-18,2.1000197941950663e-18,2.270510382967204e-18,1.7049058877213814e-19,-297.012939453125
44,1187006834.0107422,0.0107421875,-2047.9892578125,-2.7627138198718777e-18,-6.615149198827253e-19,-4.7826800855046e-19,-1.7121143698773014e-18,-1.3008322494350208e-18,1.7121143698773014e-18,1.3008322494350208e-18,2.1011988999891525e-18,2.2844458113214176e-18,1.8324691133226533e-19,-297.0126953125
45,1187006834.0109863,0.010986328125,-2047.989013671875,-2.760656575277161e-18,-6.735982260572113e-19,-5.038637046905152e-19,-1.7171274006671865e-18,-1.3127061686749624e-18,1.7171274006671865e-18,1.3127061686749624e-18,2.0870583492199497e-18,2.256792870586646e-18,1.6973452136669625e-19,-297.012451171875
46,1187006834.0112305,0.01123046875,-2047.98876953125,-2.77554180255718e-18,-6.7808598280033065e-19,-4.656108811700684e-19,-1.7268138926787553e-18,-1.3064128888425264e-18,1.7268138926787553e-18,1.3064128888425264e-18,2.097455819756849e-18,2.309930921387112e-18,2.124751016302623e-19,-297.01220703125
47,1187006834.0114746,0.011474609375,-2047.988525390625,-2.791775451917656e-18,-6.783542201908392e-19,-5.058596150673302e-19,-1.7350648360542477e-18,-1.3253297623919418e-18,1.7350648360542477e-18,1.3253297623919418e-18,2.113421231726817e-18,2.2859158368503258e-18,1.7249460512350883e-19,-297.011962890625
48,1187006834.0117188,0.01171875,-2047.98828125,-2.79287191081083e-18,-6.84759134570737e-19,-4.695934278209523e-19,-1.7388155226907836e-18,-1.3157414910675065e-18,1.7388155226907836e-18,1.3157414910675065e-18,2.1081127762400932e-18,2.3232784829898777e-18,2.1516570674978471e-19,-297.01171875
49,1187006834.011963,0.011962890625,-2047.988037109375,-2.7896935201069293e-18,-6.780028778351046e-19,-5.055747288457124e-19,-1.7338481989710171e-18,-1.3244237089292489e-18,1.7338481989710171e-18,1.3244237089292489e-18,2.1116906422718247e-18,2.2841187912612172e-18,1.7242814898939204e-19,-297.011474609375
50,1187006834.012207,0.01220703125,-2047.98779296875,-2.8020512583904442e-18,-6.764384943541865e-19,-4.907806764397665e-19,-1.7392448763723154e-18,-1.3230901430614657e-18,1.7392448763723154e-18,1.3230901430614657e-18,2.1256127640362576e-18,2.3112705819506776e-18,1.8565781791442e-19,-297.01123046875
51,1187006834.0124512,0.012451171875,-2047.987548828125,-2.818514446419306e-18,-6.7965293895604665e-19,-5.106880249533547e-19,-1.7490836926876764e-18,-1.336285136776236e-18,1.7490836926876764e-18,1.336285136776236e-18,2.13886150746326e-18,2.3078264214659517e-18,1.689649140026919e-19,-297.010986328125
52,1187006834.0126953,0.0126953125,-2047.9873046875,-2.8196400070436613e-18,-6.754272076077134e-19,-5.213799798802783e-19,-1.747533607325687e-18,-1.338815731510551e-18,1.747533607325687e-18,1.338815731510551e-18,2.144212799435948e-18,2.2982600271633828e-18,1.540472277274351e-19,-297.0107421875
53,1187006834.0129397,0.012939453125,-2047.987060546875,-2.817563108861334e-18,-6.859837686786213e-19,-5.270562558220333e-19,-1.7517734387699782e-18,-1.3435343777873296e-18,1.7517734387699782e-18,1.3435343777873296e-18,2.1315793401827127e-18,2.2905068530393013e-18,1.5892751285658794e-19,-297.010498046875
54,1187006834.0131836,0.01318359375,-2047.98681640625,-2.8257023082694665e-18,-6.934604082726929e-19,-5.460954453799659e-19,-1.7595813582710797e-18,-1.3550860539740418e-18,1.7595813582710797e-18,1.3550860539740418e-18,2.1322418999967737e-18,2.279606862889501e-18,1.4736496289272705e-19,-297.01025390625
55,1187006834.0134275,0.013427734375,-2047.986572265625,-2.8404928928932826e-18,-6.950982059486109e-19,-5.288043264517087e-19,-1.7677955494209472e-18,-1.3547984750978674e-18,1.7677955494209472e-18,1.3547984750978674e-18,2.1453946869446715e-18,2.311688566441574e-18,1.662938794969022e-19,-297.010009765625
56,1187006834.013672,0.013671875,-2047.986328125,-2.8449108195688905e-18,-7.0162600551558e-19,-5.685597601585941e-19,-1.773268412542235e-18,-1.3716988617476881e-18,1.773268412542235e-18,1.3716988617476881e-18,2.1432848140533112e-18,2.276351059410297e-18,1.330662453569859e-19,-297.009765625
57,1187006834.013916,0.013916015625,-2047.986083984375,-2.8403234716714952e-18,-6.955546498101499e-19,-5.44286993754708e-19,-1.7679390607408224e-18,-1.3600550384121177e-18,1.7679390607408224e-18,1.3600550384121177e-18,2.144768821861345e-18,2.296036477916787e-18,1.5126765605544204e-19,-297.009521484375
58,1187006834.0141602,0.01416015625,-2047.98583984375,-2.8492357292725072e-18,-6.950748125846759e-19,-5.599544960592032e-19,-1.772155270928592e-18,-1.3680883459721288e-18,1.772155270928592e-18,1.3680883459721288e-18,2.154160916687832e-18,2.2892812332133043e-18,1.3512031652547252e-19,-297.00927734375
59,1187006834.0144043,0.014404296875,-2047.985595703125,-2.864023865125219e-18,-6.981173170255789e-19,-5.378911287086188e-19,-1.7810705910753992e-18,-1.3666774369531389e-18,1.7810705910753992e-18,1.3666774369531389e-18,2.1659065480996405e-18,2.3261327364166007e-18,1.6022618831695998e-19,-297.009033203125
60,1187006834.0146484,0.0146484375,-2047.9853515625,-2.866515921007543e-18,-6.920215359744114e-19,-5.762228673802483e-19,-1.779268728490977e-18,-1.378253441454068e-18,1.779268728490977e-18,1.378253441454068e-18,2.174494385033132e-18,2.2902930536272947e-18,1.157986685941631e-19,-297.0087890625
61,1187006834.0148926,0.014892578125,-2047.985107421875,-2.86456051439805e-18,-7.010810200604289e-19,-5.400223684015408e-19,-1.7828207672292392e-18,-1.3685546342866732e-18,1.7828207672292392e-18,1.3685546342866732e-18,2.1634794943376212e-18,2.3245381459965093e-18,1.6105865165888824e-19,-297.008544921875
62,1187006834.0151367,0.01513671875,-2047.98486328125,-2.8701134537009097e-18,-7.111128810225546e-19,-5.784329074565101e-19,-1.7906131673617327e-18,-1.3865530807266585e-18,1.7906131673617327e-18,1.3865530807266585e-18,2.1590005726783553e-18,2.2916805462444e-18,1.3267997356604453e-19,-297.00830078125
63,1187006834.0153809,0.015380859375,-2047.984619140625,-2.8841573700037e-18,-7.119065202351209e-19,-5.714441533949117e-19,-1.7980319451194104e-18,-1.389169347877911e-18,1.7980319451194104e-18,1.389169347877911e-18,2.1722508497685797e-18,2.3127132166087887e-18,1.4046236684020934e-19,-297.008056640625
64,1187006834.015625,0.015625,-2047.984375,-2.892315325588161e-18,-7.1824935588611465e-19,-5.864885619066518e-19,-1.8052823407371376e-18,-1.3990177477936426e-18,1.8052823407371376e-18,1.3990177477936426e-18,2.1740659697020465e-18,2.305826763681509e-18,1.3176079397946274e-19,-297.0078125
65,1187006834.0158691,0.015869140625,-2047.984130859375,-2.886803006767353e-18,-7.1609188355565605e-19,-5.854000252541376e-19,-1.801447445161505e-18,-1.3960983051923826e-18,1.801447445161505e-18,1.3960983051923826e-18,2.170711123211697e-18,2.3014029815132157e-18,1.3069185830151834e-19,-297.007568359375
66,1187006834.0161133,0.01611328125,-2047.98388671875,-2.8889903427104545e-18,-7.130106684824677e-19,-5.792427312765525e-19,-1.8010005055964613e-18,-1.3937479141564916e-18,1.8010005055964613e-18,1.3937479141564916e-18,2.1759796742279873e-18,2.309747611433902e-18,1.3376793720591518e-19,-297.00732421875
67,1187006834.0163574,0.016357421875,-2047.983642578125,-2.9052803435792757e-18,-7.168683748579698e-19,-6.336223062493883e-19,-1.8110743592186226e-18,-1.4185903415622113e-18,1.8110743592186226e-18,1.4185903415622113e-18,2.1884119687213055e-18,2.2716580373298873e-18,8.324606860858151e-20,-297.007080078125
68,1187006834.0166016,0.0166015625,-2047.9833984375,-2.9105794120353312e-18,-7.13806979715664e-19,-5.966273985978383e-19,-1.8121931958754977e-18,-1.4070045967829444e-18,1.8121931958754977e-18,1.4070045967829444e-18,2.196772432319667e-18,2.313952013437493e-18,1.1717958111782572e-19,-297.0068359375
69,1187006834.0168457,0.016845703125,-2047.983154296875,-2.905710189562688e-18,-7.189445794627511e-19,-6.2929741913095175e-19,-1.81232738451272e-18,-1.4179840627187969e-18,1.81232738451272e-18,1.4179840627187969e-18,2.1867656100999365e-18,2.2764127704317363e-18,8.964716033179939e-20,-297.006591796875
70,1187006834.0170898,0.01708984375,-2047.98291015625,-2.9077894089023567e-18,-7.304399188784419e-19,-6.176514868345777e-19,-1.819114663890399e-18,-1.4186269382051253e-18,1.819114663890399e-18,1.4186269382051253e-18,2.1773494900239144e-18,2.2901379220677792e-18,1.127884320438642e-19,-297.00634765625
71,1187006834.017334,0.017333984375,-2047.982666015625,-2.9184074882641706e-18,-7.32909776740507e-19,-6.452899295648119e-19,-1.825658632502339e-18,-1.43220239818983e-18,1.825658632502339e-18,1.43220239818983e-18,2.185497711523664e-18,2.2731175586993585e-18,8.761984717569513e-20,-297.006103515625
72,1187006834.017578,0.017578125,-2047.982421875,-2.9296299468577767e-18,-7.373419800482309e-19,-5.979349233953995e-19,-1.8334859634530035e-18,-1.4216356167671357e-18,1.8334859634530035e-18,1.4216356167671357e-18,2.1922879668095456e-18,2.331695023462377e-18,1.3940705665283157e-19,-297.005859375
73,1187006834.0178225,0.017822265625,-2047.982177734375,-2.924218981579382e-18,-7.374553642339935e-19,-6.2529361754579965e-19,-1.830837172906688e-18,-1.4289893211197252e-18,1.830837172906688e-18,1.4289893211197252e-18,2.1867636173453884e-18,2.2989253640335826e-18,1.1216174668819394e-19,-297.005615234375
74,1187006834.0180664,0.01806640625,-2047.98193359375,-2.9206146595297138e-18,-7.329448566134277e-19,-6.207858366730511e-19,-1.8267797580715713e-18,-1.4247817842720641e-18,1.8267797580715713e-18,1.4247817842720641e-18,2.187669802916286e-18,2.2998288228566626e-18,1.121590199403766e-19,-297.00537109375
75,1187006834.0183103,0.018310546875,-2047.981689453125,-2.9354741050672506e-18,-7.356153640902157e-19,-6.419179457592087e-19,-1.835544734578733e-18,-1.4376691383055585e-18,1.835544734578733e-18,1.4376691383055585e-18,2.199858740977035e-18,2.293556159308042e-18,9.369741833100716e-20,-297.005126953125
76,1187006834.0185547,0.0185546875,-2047.9814453125,-2.9450637558667002e-18,-7.341709766587713e-19,-6.342057788630446e-19,-1.839617366262736e-18,-1.4378135037961721e-18,1.839617366262736e-18,1.4378135037961721e-18,2.210892779207929e-18,2.310857977003656e-18,9.996519779572673e-20,-297.0048828125
77,1187006834.0187988,0.018798828125,-2047.981201171875,-2.9414004786859002e-18,-7.374414949185605e-19,-6.369515178192278e-19,-1.8394209868022297e-18,-1.4385978304745628e-18,1.8394209868022297e-18,1.4385978304745628e-18,2.20395898376734e-18,2.304448960866673e-18,1.0048997709933252e-19,-297.004638671875
78,1187006834.019043,0.01904296875,-2047.98095703125,-2.938473789777502e-18,-7.502788294645538e-19,-6.699595113532913e-19,-1.844376309621028e-18,-1.4529040435317824e-18,1.844376309621028e-18,1.4529040435317824e-18,2.1881949603129484e-18,2.268514278424211e-18,8.031931811126264e-20,-297.00439453125
79,1187006834.019287,0.019287109375,-2047.980712890625,-2.9484965807689092e-18,-7.542010589353658e-19,-6.550479539182826e-19,-1.851348819852137e-18,-1.4525818645408521e-18,1.851348819852137e-18,1.4525818645408521e-18,2.194295521833543e-18,2.293448626850626e-18,9.915310501708303e-20,-297.004150390625
80,1187006834.0195312,0.01953125,-2047.98046875,-2.958899462562811e-18,-7.573299328943474e-19,-6.805449332485104e-19,-1.858114697728579e-18,-1.4655914429018897e-18,1.858114697728579e-18,1.4655914429018897e-18,2.2015695296684637e-18,2.2783545293143004e-18,7.678499964583704e-20,-297.00390625
81,1187006834.0197754,0.019775390625,-2047.980224609375,-2.953137202371428e-18,-7.605375755175672e-19,-6.60806503817822e-19,-1.8568373889444982e-18,-1.4581604272356062e-18,1.8568373889444982e-18,1.4581604272356062e-18,2.192599626853861e-18,2.292330698553606e-18,9.973107169974528e-20,-297.003662109375
82,1187006834.0200195,0.02001953125,-2047.97998046875,-2.947169639945893e-18,-7.562778853278255e-19,-7.077596287496585e-19,-1.8517237626368598e-18,-1.470402384674459e-18,1.8517237626368598e-18,1.470402384674459e-18,2.190891754618068e-18,2.2394100111962346e-18,4.8518256578167145e-20,-297.00341796875
83,1187006834.0202637,0.020263671875,-2047.979736328125,-2.9584158891596243e-18,-7.56456719640144e-19,-6.659845359423915e-19,-1.857436304399884e-18,-1.4602857149140533e-18,1.857436304399884e-18,1.4602857149140533e-18,2.20195916951948e-18,2.2924313532172325e-18,9.047218369775248e-20,-297.003173828125
84,1187006834.0205078,0.0205078125,-2047.9794921875,-2.9692874648228387e-18,-7.569948652165917e-19,-6.973061007894677e-19,-1.863141165019715e-18,-1.474529476942966e-18,1.863141165019715e-18,1.474529476942966e-18,2.212292599606247e-18,2.2719813640333712e-18,5.968876442712405e-20,-297.0029296875
85,1187006834.020752,0.020751953125,-2047.979248046875,-2.9652434113915083e-18,-7.583303920954042e-19,-6.773983079180241e-19,-1.861786901743456e-18,-1.4669907038016455e-18,1.861786901743456e-18,1.4669907038016455e-18,2.206913019296104e-18,2.2878451034734843e-18,8.093208417738011e-20,-297.002685546875
86,1187006834.020996,0.02099609375,-2047.97900390625,-2.9605601479141967e-18,-7.682771211637336e-19,-6.936492245981921e-19,-1.8644186345389652e-18,-1.4741621645587072e-18,1.8644186345389652e-18,1.4741621645587072e-18,2.1922830267504633e-18,2.266910923316004e-18,7.462789656554137e-20,-297.00244140625
87,1187006834.0212402,0.021240234375,-2047.978759765625,-2.965838613311769e-18,-7.730123257835322e-19,-6.817893055341999e-19,-1.8694254695476507e-18,-1.473546748209834e-18,1.8694254695476507e-18,1.473546748209834e-18,2.192826287528237e-18,2.284049307777569e-18,9.122302024933229e-20,-297.002197265625
